                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.93651,                0.78811,                0.92382,                0.84929,                0.76616,                0.84374,                0.62852,                0.93195,                0.78803,                0.93538,               0.000878,               0.000878,               0.000878
                     37,                0.92398,                0.77731,                0.91301,                0.81991,                0.77033,                0.84127,                0.61696,                0.95481,                 0.9048,                0.96074,               0.000845,               0.000845,               0.000845
                     38,                0.92097,                0.75578,                0.91672,                0.83835,                0.72814,                0.82375,                0.59636,                0.97882,                0.94266,                0.94694,               0.000812,               0.000812,               0.000812
                     39,                0.91528,                0.74553,                 0.9123,                 0.8546,                0.72624,                0.83473,                0.61885,                0.92988,                0.90573,                0.93656,               0.000779,               0.000779,               0.000779
                     40,                0.91016,                0.75669,                0.91102,                0.85903,                0.75302,                0.84831,                 0.6135,                0.95342,                0.89502,                0.95421,               0.000746,               0.000746,               0.000746
                     41,                0.90651,                0.73201,                 0.9169,                0.86379,                0.73542,                0.83649,                0.61152,                0.95594,                0.92403,                0.94995,               0.000713,               0.000713,               0.000713
                     42,                0.89363,                0.71549,                0.91275,                 0.8381,                0.78733,                0.86119,                0.62854,                0.92313,                0.81397,                0.93024,                0.00068,                0.00068,                0.00068
                     43,                0.88719,                0.71525,                0.91253,                0.86085,                0.77376,                0.85781,                0.63456,                0.90789,                0.79161,                0.92293,               0.000647,               0.000647,               0.000647
                     44,                0.89302,                0.71063,                0.91403,                0.79561,                0.79922,                0.84757,                0.62939,                0.93078,                0.79869,                0.93491,               0.000614,               0.000614,               0.000614
                     45,                0.87526,                0.69395,                0.90515,                0.83467,                0.76781,                0.83896,                 0.6242,                0.92371,                0.84964,                0.92746,               0.000581,               0.000581,               0.000581
                     46,                  0.875,                0.68082,                0.90564,                0.89259,                0.72624,                0.84503,                0.63031,                0.92653,                0.85527,                 0.9263,               0.000548,               0.000548,               0.000548
                     47,                0.88035,                0.67854,                0.90264,                0.85783,                0.76046,                0.84301,                0.61663,                0.94356,                0.85346,                0.92406,               0.000515,               0.000515,               0.000515
                     48,                0.85863,                0.66533,                 0.9032,                0.84476,                0.73451,                0.82061,                0.59515,                0.96581,                0.90646,                0.93571,               0.000482,               0.000482,               0.000482
                     49,                0.86523,                0.67168,                0.90018,                0.84675,                0.78327,                0.84267,                0.62264,                0.92814,                0.85015,                0.92858,               0.000449,               0.000449,               0.000449
                     50,                 0.8427,                0.64596,                0.89404,                0.87176,                0.77545,                0.85882,                0.64518,                0.91068,                0.83835,                0.92212,               0.000416,               0.000416,               0.000416
                     51,                0.86841,                0.62143,                0.89535,                0.85757,                0.78137,                0.86093,                0.64527,                0.91863,                 0.7922,                0.92256,               0.000383,               0.000383,               0.000383
                     52,                0.87087,                0.59273,                0.89828,                0.85101,                0.79271,                0.86442,                0.64911,                0.89483,                0.74482,                0.91868,                0.00035,                0.00035,                0.00035
                     53,                0.86353,                0.57978,                0.89111,                0.83357,                0.79658,                 0.8519,                0.63644,                0.91422,                0.81838,                0.92457,               0.000317,               0.000317,               0.000317
                     54,                0.84642,                0.56054,                0.87948,                0.81697,                0.80608,                0.85129,                0.63452,                0.91911,                0.78298,                0.92418,               0.000284,               0.000284,               0.000284
                     55,                0.83808,                0.54399,                0.88197,                0.81169,                0.77029,                0.82284,                0.60821,                0.94129,                0.92135,                0.93754,               0.000251,               0.000251,               0.000251
                     56,                0.84127,                0.53939,                0.88093,                0.81934,                0.80418,                0.84215,                0.63557,                 0.9324,                0.81092,                0.92202,               0.000218,               0.000218,               0.000218
                     57,                0.81663,                 0.5313,                0.87264,                0.86781,                0.76616,                 0.8466,                0.63674,                 0.9244,                0.80529,                0.92503,               0.000185,               0.000185,               0.000185
                     58,                0.80879,                0.52566,                0.87377,                0.85194,                0.78763,                0.84682,                0.63853,                0.90921,                0.83291,                0.92232,               0.000152,               0.000152,               0.000152
                     59,                0.81145,                 0.5146,                 0.8703,                0.83932,                0.78137,                0.84468,                0.63545,                0.91532,                0.80733,                0.91857,               0.000119,               0.000119,               0.000119
                     60,                0.80061,                0.50589,                0.86395,                0.81473,                0.80038,                0.84331,                0.62881,                0.91379,                0.81489,                0.91915,                8.6e-05,                8.6e-05,                8.6e-05
