                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58265,                0.65779,                0.93528,                0.71619,                0.67342,                0.73563,                0.57163,                0.68438,                0.95454,                0.95005,             0.00096561,             0.00096561,             0.00096561
                     37,                0.57524,                0.66044,                0.93186,                0.75634,                0.74269,                 0.7855,                0.63925,                0.59745,                0.81454,                0.91917,             0.00094498,             0.00094498,             0.00094498
                     38,                0.56955,                0.66224,                0.93227,                0.77024,                0.72261,                0.77115,                 0.6325,                0.59042,                0.81614,                0.91905,             0.00092435,             0.00092435,             0.00092435
                     39,                0.56059,                0.64618,                0.92357,                0.73569,                 0.7533,                0.77318,                0.62941,                0.59965,                0.82484,                0.91453,             0.00090372,             0.00090372,             0.00090372
                     40,                0.55939,                0.63085,                0.92766,                0.77432,                0.73315,                0.78413,                0.63987,                0.59594,                0.81777,                0.91285,             0.00088309,             0.00088309,             0.00088309
                     41,                0.55841,                0.62118,                 0.9219,                0.74506,                0.76466,                0.79352,                 0.6528,                0.58594,                0.79576,                0.91121,             0.00086246,             0.00086246,             0.00086246
                     42,                0.54849,                0.60512,                0.92083,                0.76442,                0.74547,                0.78521,                0.64347,                0.60078,                0.78427,                0.91902,             0.00084184,             0.00084184,             0.00084184
                     43,                0.55794,                0.61666,                0.92259,                0.72315,                0.77337,                0.77668,                0.63269,                0.58405,                 0.8413,                0.90938,             0.00082121,             0.00082121,             0.00082121
                     44,                0.54177,                0.59335,                 0.9167,                0.74683,                0.74488,                 0.7724,                0.62333,                0.59423,                0.84766,                0.91726,             0.00080058,             0.00080058,             0.00080058
                     45,                0.54556,                0.59879,                0.92159,                0.77171,                0.73413,                0.78229,                0.63932,                0.59111,                0.82649,                0.91588,             0.00077995,             0.00077995,             0.00077995
                     46,                0.54115,                0.59799,                0.91585,                0.75027,                0.75013,                0.78197,                0.64346,                0.59631,                0.82042,                 0.9235,             0.00075932,             0.00075932,             0.00075932
                     47,                 0.5464,                0.58943,                  0.921,                0.76255,                0.74985,                 0.7842,                0.64536,                0.57776,                 0.7833,                0.91572,             0.00073869,             0.00073869,             0.00073869
                     48,                0.54826,                0.57953,                0.91943,                0.76529,                0.76002,                0.79572,                0.65824,                0.57869,                0.78652,                  0.908,             0.00071806,             0.00071806,             0.00071806
                     49,                0.53279,                0.57143,                0.91286,                0.78866,                0.74801,                0.79415,                0.65527,                0.57042,                 0.7455,                0.90772,             0.00069743,             0.00069743,             0.00069743
                     50,                0.53374,                0.55737,                0.91368,                0.76257,                0.76655,                0.78559,                0.64866,                0.58672,                0.76653,                0.91337,              0.0006768,              0.0006768,              0.0006768
                     51,                0.52808,                0.55674,                0.91238,                0.74698,                0.76925,                0.79341,                0.66031,                0.56261,                0.78374,                0.90942,             0.00065617,             0.00065617,             0.00065617
                     52,                 0.5316,                0.54932,                0.91286,                0.78541,                0.74174,                0.78507,                0.64325,                 0.5763,                 0.7815,                0.90724,             0.00063554,             0.00063554,             0.00063554
                     53,                0.51574,                0.54022,                0.90698,                0.77253,                0.73439,                0.78509,                 0.6505,                0.57746,                0.81699,                0.90973,             0.00061491,             0.00061491,             0.00061491
                     54,                0.51325,                0.53475,                0.90461,                0.77956,                0.73187,                0.78914,                0.64988,                0.57685,                0.77686,                0.91099,             0.00059429,             0.00059429,             0.00059429
                     55,                0.51732,                0.52712,                0.90631,                0.76618,                0.73071,                0.77486,                0.63885,                0.58784,                0.80214,                0.91104,             0.00057366,             0.00057366,             0.00057366
                     56,                0.51127,                0.52466,                0.90341,                0.77068,                0.73313,                0.77299,                0.64148,                0.59166,                0.79272,                0.92258,             0.00055303,             0.00055303,             0.00055303
                     57,                0.51303,                 0.5107,                0.90532,                 0.7745,                0.73574,                0.78623,                0.65075,                0.57189,                 0.8174,                0.91023,              0.0005324,              0.0005324,              0.0005324
                     58,                0.51166,                0.51185,                0.90237,                0.78236,                0.72253,                0.79017,                0.65225,                0.57369,                0.77813,                0.91741,             0.00051177,             0.00051177,             0.00051177
                     59,                0.51418,                0.51185,                0.90768,                0.73986,                0.78154,                0.78788,                0.65818,                0.57974,                0.79394,                0.91791,             0.00049114,             0.00049114,             0.00049114
                     60,                0.50481,                0.49713,                0.90047,                0.78495,                0.72918,                0.79403,                 0.6607,                0.56607,                0.77977,                0.90519,             0.00047051,             0.00047051,             0.00047051
                     61,                 0.4954,                0.49082,                0.89568,                0.77057,                0.76205,                0.78984,                0.65245,                0.56499,                0.78254,                0.90265,             0.00044988,             0.00044988,             0.00044988
                     62,                0.49477,                0.48333,                0.89848,                 0.7668,                0.74213,                 0.7888,                0.65373,                0.56882,                0.79128,                 0.9083,             0.00042925,             0.00042925,             0.00042925
                     63,                0.50085,                0.47538,                0.89853,                0.73658,                0.76312,                0.78298,                  0.653,                0.56001,                0.81124,                0.90436,             0.00040862,             0.00040862,             0.00040862
                     64,                0.49172,                0.46681,                0.89361,                0.76838,                0.75443,                0.78715,                0.65593,                0.55314,                0.77608,                 0.9024,             0.00038799,             0.00038799,             0.00038799
                     65,                0.48836,                0.46813,                0.89327,                0.77641,                0.73813,                 0.7943,                0.66512,                0.55516,                0.78663,                 0.9011,             0.00036737,             0.00036737,             0.00036737
                     66,                0.49005,                0.45923,                0.89726,                0.80188,                0.70791,                0.78539,                0.65669,                0.56251,                 0.8042,                 0.9035,             0.00034674,             0.00034674,             0.00034674
                     67,                0.48503,                0.44812,                0.89526,                0.76719,                0.74817,                0.78469,                0.65364,                0.57254,                0.79784,                0.91218,             0.00032611,             0.00032611,             0.00032611
                     68,                0.47963,                0.43766,                0.89099,                0.78552,                 0.7346,                0.78392,                0.65529,                0.56482,                0.81898,                 0.9058,             0.00030548,             0.00030548,             0.00030548
                     69,                0.48419,                0.44551,                0.89171,                0.78267,                0.73355,                0.77664,                0.65005,                0.54988,                0.82954,                0.89725,             0.00028485,             0.00028485,             0.00028485
                     70,                0.47856,                0.43861,                0.89215,                0.77506,                 0.7259,                0.75737,                0.63501,                0.56327,                0.84813,                0.90591,             0.00026422,             0.00026422,             0.00026422
                     71,                0.45781,                0.38861,                0.85285,                0.79247,                0.72126,                0.77515,                0.64706,                0.56416,                0.81571,                0.91102,             0.00024359,             0.00024359,             0.00024359
